#   stall angle            15.3  deg,,,
#   zero-lift angle        -0.38 deg,,,
#   Cn slope at zero lift   7.12499  (1/rad),,,
#   Cn at positive stall    1.9408,,,
#   Cn at negative stall   -0.8000,,,
#   angle for minimum CD    2.0   deg,,,
#   minimum CD              0.0116,,,
alpha_deg,C_L,C_D,C_M
-180,0,0.1748,0
-170,0.23,0.2116,0.4
-160,0.46,0.3172,0.1018
-150,0.494,0.4784,0.1333
-140,0.51,0.6743,0.1727
-130,0.486,0.8799,0.2132
-120,0.415,1.0684,0.2498
-110,0.302,1.2148,0.2779
-100,0.159,1.2989,0.2933
-90,0,1.308,0.2936
-80,-0.159,1.2989,0.2933
-70,-0.302,1.2148,0.2779
-60,-0.415,1.0684,0.2498
-50,-0.486,0.8799,0.2132
-40,-0.51,0.6743,0.1727
-30,-0.494,0.4784,0.1333
-20.1,-0.56,0.3027,0.0612
-18.1,-0.67,0.3069,0.0904
-16.1,-0.79,0.1928,0.0293
-14.2,-0.84,0.0898,-0.009
-12.2,-0.7,0.0553,-0.0045
-10.1,-0.63,0.039,-0.0044
-8.2,-0.56,0.0233,-0.0051
-6.1,-0.64,0.0131,0.0018
-4.1,-0.42,0.0134,-0.0216
-2.1,-0.21,0.0119,-0.0282
0.1,0.05,0.0122,-0.0346
2,0.3,0.0116,-0.0405
4.1,0.54,0.0144,-0.0455
6.2,0.79,0.0146,-0.0507
8.1,0.9,0.0162,-0.0404
10.2,0.93,0.0274,-0.0321
11.3,0.92,0.0303,-0.0281
12.1,0.95,0.0369,-0.0284
13.2,0.99,0.0509,-0.0322
14.2,1.01,0.0648,-0.0361
15.3,1.02,0.0776,-0.0363
16.3,1,0.0917,-0.0393
17.1,0.94,0.0994,-0.0398
18.1,0.85,0.2306,-0.0983
19.1,0.7,0.3142,-0.1242
20.1,0.66,0.3186,-0.1155
30,0.705,0.4784,-0.2459
40,0.729,0.6743,-0.2813
50,0.694,0.8799,-0.3134
60,0.593,1.0684,-0.3388
70,0.432,1.2148,-0.3557
80,0.227,1.2989,-0.363
90,0,1.308,-0.3604
100,-0.159,1.2989,-0.36
110,-0.302,1.2148,-0.3446
120,-0.415,1.0684,-0.3166
130,-0.486,0.8799,-0.28
140,-0.51,0.6743,-0.2394
150,-0.494,0.4784,-0.2001
160,-0.46,0.3172,-0.1685
170,-0.23,0.2116,-0.5
180,0,0.1748,0
