#   alpha(t) = 18 + 10*sin(omega*t) deg
#   k = 0.07,  chord = 0.25 m,  U = 10 m/s,  omega = k*2*U/chord = 5.6 rad/s
#   T = 1.1220 s,  dt = 0.005 s,  802 samples,  t = 0 .. 4.005 s (3.57 cycles)
#   cycles 1 and 2 are converged; cycle 3 is truncated.
t_s,alpha_deg,Cl_oye,Cl_iag
0,17.99999709,0.8591936827,0.893897891
0.005,18.27995971,0.8427791595,0.8925060034
0.01,18.55970377,0.8195800781,0.8912394047
0.015,18.83900899,0.7916929722,0.8902027607
0.02,19.11765851,0.7609955668,0.896525085
0.025,19.39542693,0.7492187023,0.9056972861
0.03,19.67210423,0.7368412018,0.9161801338
0.035,19.94747356,0.7239540815,0.9271869063
0.04,20.22131292,0.7149040103,0.9381989241
0.045,20.49340887,0.7113611102,0.9488123059
0.05,20.7635531,0.7083081007,0.9664202929
0.055,21.03153045,0.7056870461,0.9849188924
0.06,21.29713089,0.7034463882,1.002554297
0.065,21.56014611,0.7015405297,1.019066215
0.07,21.8203729,0.6999291182,1.034677744
0.075,22.07760294,0.6985762715,1.048941493
0.08,22.33163476,0.6974503398,1.06170404
0.085,22.58227367,0.6965231895,1.072992802
0.09,22.8293182,0.695769906,1.082846999
0.095,23.07257709,0.6951684952,1.091309309
0.1,23.31185911,0.6946994662,1.098429799
0.105,23.54697813,0.6943454742,1.104316354
0.11,23.77774631,0.6940913796,1.109064698
0.115,24.00398608,0.6939234734,1.112765431
0.12,24.22551985,0.6938300133,1.1154989
0.125,24.44217345,0.6938002706,1.117343068
0.13,24.65377784,0.6938248873,1.118366241
0.135,24.86016396,0.6938956976,1.118631721
0.14,25.06117301,0.6940053105,1.118196845
0.145,25.25664619,0.6941472292,1.117115617
0.15,25.44642983,0.6943158507,1.115435243
0.155,25.63037536,0.6945060492,1.113199711
0.16,25.80833765,0.6947133541,1.110447884
0.165,25.98018179,0.6949338913,1.107216835
0.17,26.14577119,0.6951640844,1.103539467
0.175,26.30497265,0.6954008341,1.099445224
0.18,26.45766324,0.695641458,1.094961643
0.185,26.60372171,0.6958853006,1.090111852
0.19,26.74303708,0.6961376071,1.084918618
0.195,26.87550006,0.6963945627,1.079401851
0.2,27.00099796,0.6966519356,1.073581815
0.205,27.1194471,0.6969060898,1.067471743
0.21,27.23074674,0.6971538067,1.0610888
0.215,27.33480638,0.6973923445,1.054447889
0.22,27.43155089,0.6976194978,1.047559977
0.225,27.52090001,0.6978331208,1.040436864
0.23,27.60278544,0.6980316043,1.033088326
0.235,27.67714229,0.6982134581,1.025524974
0.24,27.74391593,0.6983773708,1.017753959
0.245,27.80304488,0.6985223889,1.009785175
0.25,27.85449498,0.6986474395,1.001623273
0.255,27.89821502,0.6987518072,0.9932771325
0.26,27.93417597,0.6988347173,0.9847516418
0.265,27.96235221,0.6988955736,0.976052165
0.27,27.98271812,0.6989338398,0.9671845436
0.275,27.99525664,0.6989488602,0.9581537843
0.28,27.99995581,0.6989402771,0.9489628077
0.285,27.99682246,0.6989076138,0.9396161437
0.29,27.98584806,0.6988503337,0.9293307066
0.295,27.96704455,0.6987680793,0.9183317423
0.3,27.94043072,0.6986603737,0.906789422
0.305,27.90602193,0.6985267401,0.894833982
0.31,27.86384893,0.6983668208,0.8821937442
0.315,27.81393732,0.6981800199,0.8702321053
0.32,27.75633663,0.6979659796,0.8589124084
0.325,27.69108783,0.6977241039,0.8481985927
0.33,27.61824045,0.6974539161,0.8380559683
0.335,27.53785595,0.6971548796,0.8284509778
0.34,27.44999069,0.6968263984,0.8193511367
0.345,27.3547198,0.6964679956,0.8107262254
0.35,27.25211157,0.6960790157,0.8025467396
0.355,27.14225481,0.6956588626,0.7947850227
0.36,27.02522635,0.6952069402,0.7874144912
0.365,26.90112523,0.6947226524,0.7804093957
0.37,26.77004707,0.6942053437,0.7737451792
0.375,26.63209261,0.693654418,0.7673978209
0.38,26.48736773,0.6930689216,0.7613444924
0.385,26.33599367,0.692440033,0.7555628419
0.39,26.17808311,0.6917632818,0.7500309944
0.395,26.01376242,0.6910377741,0.7447288632
0.4,25.84315795,0.6902627349,0.739636302
0.405,25.6664029,0.6894373298,0.7347342372
0.41,25.4836407,0.6885606647,0.7300047874
0.415,25.29501307,0.6876319051,0.725431025
0.42,25.10066175,0.6866500974,0.7209973335
0.425,24.90074553,0.6856144667,0.716688633
0.43,24.6954215,0.6845241785,0.7124911547
0.435,24.48484677,0.6833785176,0.7083923817
0.44,24.26918867,0.68217659,0.704380393
0.445,24.04861966,0.6809177995,0.7004443407
0.45,23.82330026,0.6796014905,0.6965742111
0.455,23.59342512,0.6782271266,0.6927616
0.46,23.35915817,0.6767941117,0.6889976263
0.465,23.12069236,0.6753020883,0.6852753758
0.47,22.87821552,0.6737507582,0.6815876961
0.475,22.63191036,0.6721397638,0.6779285669
0.48,22.38197496,0.6704691052,0.6742928624
0.485,22.12860397,0.668738544,0.6706753373
0.49,21.87199547,0.6669483185,0.6670715809
0.495,21.61235095,0.6650984883,0.663477838
0.5,21.34987702,0.6631894112,0.6598906517
0.505,21.08477689,0.6612214446,0.656306982
0.51,20.81725546,0.6591951847,0.6527243257
0.515,20.54753129,0.6571112275,0.6491405964
0.52,20.27580758,0.6549704671,0.6455538273
0.525,20.00229607,0.6562616229,0.6419628263
0.53,19.72721874,0.6636382937,0.6383664608
0.535,19.45078561,0.6709382534,0.6347639561
0.54,19.17321526,0.6781674027,0.6314774752
0.545,18.89472625,0.7023943663,0.6283444762
0.55,18.61553373,0.7318252921,0.6251932383
0.555,18.33585969,0.7605966926,0.6223936081
0.56,18.05592438,0.7878219485,0.6298735142
0.565,17.77594127,0.8094987273,0.6390185952
0.57,17.49613745,0.8305484056,0.6490545869
0.575,17.21672807,0.8510024548,0.6609730124
0.58,16.93792999,0.8665783405,0.6779559851
0.585,16.6599669,0.878857553,0.6977343559
0.59,16.38305396,0.8911964893,0.7195550799
0.595,16.10740972,0.8997358084,0.7363727093
0.6,15.83324764,0.9062242508,0.7482077479
0.605,15.56078456,0.9120628834,0.759139955
0.61,15.29023223,0.9172474146,0.7688416243
0.615,15.02180409,0.9194202423,0.7781986594
0.62,14.75571187,0.9206947684,0.788056612
0.625,14.49216731,0.9212146997,0.7983175516
0.63,14.23136764,0.9211031795,0.8075232506
0.635,13.97352202,0.919898808,0.8151267767
0.64,13.71883537,0.9179803133,0.8215466142
0.645,13.46750404,0.9155079126,0.8270415664
0.65,13.21972612,0.9125849605,0.8312894106
